params,PutOnPlateInScene25Carrot-v1-test,PutOnPlateInScene25Carrot-v1-train,PutOnPlateInScene25EEPose-v1-test,PutOnPlateInScene25Instruct-v1-test,PutOnPlateInScene25MultiCarrot-v1-test,PutOnPlateInScene25MultiCarrot-v1-train,PutOnPlateInScene25MultiPlate-v1-test,PutOnPlateInScene25MultiPlate-v1-train,PutOnPlateInScene25Plate-v1-test,PutOnPlateInScene25Position-v1-test,PutOnPlateInScene25PositionChangeTo-v1-test,PutOnPlateInScene25VisionImage-v1-test,PutOnPlateInScene25VisionTexture03-v1-test,PutOnPlateInScene25VisionTexture05-v1-test,PutOnPlateInScene25VisionWhole03-v1-test,PutOnPlateInScene25VisionWhole05-v1-test,avg_success_train,avg_success_test,avg_success_all
ppo;clip;para1=0.1;para2=0.0;para3=0,0.7864583333333334,0.890625,0.7864583333333334,0.828125,0.6354166666666666,0.7239583333333334,0.6875,0.8385416666666666,0.7552083333333334,0.765625,0.7239583333333334,0.859375,0.8072916666666666,0.6145833333333334,0.78125,0.6770833333333334,0.734375,0.6466346153846154,0.6630859375
ppo;clip;para1=0.2;para2=0.0;para3=0,0.8125,0.8958333333333334,0.8072916666666666,0.875,0.6145833333333334,0.8177083333333334,0.7291666666666666,0.8333333333333334,0.8177083333333334,0.8645833333333334,0.796875,0.9114583333333334,0.8229166666666666,0.7239583333333334,0.8541666666666666,0.765625,0.7899305555555557,0.687900641025641,0.70703125
ppo;clip;para1=0.3;para2=0.0;para3=0,0.8072916666666666,0.9114583333333334,0.875,0.9166666666666666,0.6822916666666666,0.8072916666666666,0.8020833333333334,0.8854166666666666,0.7864583333333334,0.84375,0.7916666666666666,0.8802083333333334,0.8072916666666666,0.640625,0.8802083333333334,0.6770833333333334,0.8038194444444445,0.7271634615384616,0.7415364583333334
ppo;clip;para1=0.329;para2=0.0;para3=0,0.78125,0.8645833333333334,0.7760416666666666,0.8385416666666666,0.6302083333333334,0.7083333333333334,0.6302083333333334,0.8229166666666666,0.578125,0.78125,0.734375,0.8385416666666666,0.78125,0.5833333333333334,0.7395833333333334,0.6458333333333334,0.7413194444444445,0.6262019230769231,0.6477864583333334
ppo;clip;para1=0.4;para2=0.0;para3=0,0.84375,0.921875,0.9166666666666666,0.921875,0.703125,0.8229166666666666,0.8020833333333334,0.9010416666666666,0.8177083333333334,0.828125,0.828125,0.921875,0.84375,0.6770833333333334,0.8333333333333334,0.7291666666666666,0.8055555555555557,0.7079326923076923,0.7262369791666666
ppo;clip;para1=0.422;para2=0.0;para3=0,0.7552083333333334,0.890625,0.7916666666666666,0.8854166666666666,0.6458333333333334,0.765625,0.7395833333333334,0.8489583333333334,0.7239583333333334,0.7760416666666666,0.734375,0.8385416666666666,0.8020833333333334,0.546875,0.8177083333333334,0.6927083333333334,0.7291666666666666,0.6109775641025641,0.6331380208333334
ppo;clip;para1=0.5;para2=0.0;para3=0,0.8177083333333334,0.84375,0.7552083333333334,0.8489583333333334,0.5989583333333334,0.796875,0.75,0.8020833333333334,0.828125,0.7864583333333334,0.7864583333333334,0.8645833333333334,0.7760416666666666,0.6458333333333334,0.7916666666666666,0.6822916666666666,0.7829861111111112,0.6794871794871795,0.6988932291666666
ppo;clip_cov;para1=0.0002;para2=1.0;para3=5.0,0.7864583333333334,0.9166666666666666,0.7864583333333334,0.8333333333333334,0.625,0.7708333333333334,0.7083333333333334,0.7916666666666666,0.703125,0.7916666666666666,0.78125,0.8645833333333334,0.796875,0.6302083333333334,0.8125,0.6770833333333334,0.7517361111111112,0.6506410256410257,0.6695963541666666
ppo;clip_high;para1=0.2;para2=0.28;para3=0,0.7135416666666666,0.8645833333333334,0.765625,0.8125,0.6197916666666666,0.8020833333333334,0.6666666666666666,0.8489583333333334,0.75,0.796875,0.7708333333333334,0.8645833333333334,0.78125,0.578125,0.8072916666666666,0.6614583333333334,0.765625,0.6338141025641026,0.6585286458333334
ppo;clip_high;para1=0.329;para2=0.5;para3=0,0.8489583333333334,0.921875,0.8541666666666666,0.8958333333333334,0.6979166666666666,0.8229166666666666,0.6666666666666666,0.8854166666666666,0.7708333333333334,0.8645833333333334,0.796875,0.8958333333333334,0.84375,0.6458333333333334,0.8489583333333334,0.7552083333333334,0.7708333333333334,0.6706730769230769,0.689453125
