params,PutOnPlateInScene25Carrot-v1-test,PutOnPlateInScene25Carrot-v1-train,PutOnPlateInScene25EEPose-v1-test,PutOnPlateInScene25Instruct-v1-test,PutOnPlateInScene25MultiCarrot-v1-test,PutOnPlateInScene25MultiCarrot-v1-train,PutOnPlateInScene25MultiPlate-v1-test,PutOnPlateInScene25MultiPlate-v1-train,PutOnPlateInScene25Plate-v1-test,PutOnPlateInScene25Position-v1-test,PutOnPlateInScene25PositionChangeTo-v1-test,PutOnPlateInScene25VisionImage-v1-test,PutOnPlateInScene25VisionTexture03-v1-test,PutOnPlateInScene25VisionTexture05-v1-test,PutOnPlateInScene25VisionWhole03-v1-test,PutOnPlateInScene25VisionWhole05-v1-test,avg_success_train,avg_success_test,avg_success_all
ppo;clip;para1=0.1;para2=0.0;para3=0+steps_0199,0.671875,0.78125,0.734375,0.734375,0.421875,0.65625,0.453125,0.671875,0.625,0.609375,0.6875,0.828125,0.671875,0.546875,0.640625,0.609375,0.703125,0.6334134615384616,0.646484375
ppo;clip;para1=0.2;para2=0.0;para3=0+steps_0199,0.6875,0.75,0.734375,0.6875,0.46875,0.671875,0.46875,0.8125,0.65625,0.671875,0.65625,0.875,0.6875,0.578125,0.65625,0.578125,0.7447916666666666,0.6466346153846154,0.6650390625
ppo;clip;para1=0.3;para2=0.0;para3=0+steps_0199,0.703125,0.875,0.8125,0.78125,0.53125,0.671875,0.640625,0.671875,0.671875,0.78125,0.78125,0.84375,0.65625,0.578125,0.71875,0.578125,0.7395833333333334,0.6983173076923077,0.7060546875
ppo;clip;para1=0.329;para2=0.0;para3=0+steps_0199,0.671875,0.859375,0.640625,0.6875,0.515625,0.640625,0.40625,0.6875,0.65625,0.578125,0.578125,0.734375,0.640625,0.546875,0.703125,0.515625,0.7291666666666666,0.6057692307692307,0.62890625
ppo;clip;para1=0.4;para2=0.0;para3=0+steps_0199,0.6875,0.90625,0.796875,0.75,0.5625,0.734375,0.578125,0.828125,0.765625,0.703125,0.765625,0.78125,0.75,0.71875,0.78125,0.59375,0.8229166666666666,0.7103365384615384,0.7314453125
ppo;clip;para1=0.422;para2=0.0;para3=0+steps_0199,0.625,0.625,0.640625,0.578125,0.453125,0.640625,0.359375,0.609375,0.4375,0.515625,0.53125,0.765625,0.625,0.453125,0.609375,0.484375,0.625,0.5444711538461539,0.5595703125
ppo;clip;para1=0.5;para2=0.0;para3=0+steps_0199,0.6875,0.84375,0.765625,0.78125,0.515625,0.703125,0.5,0.6875,0.625,0.609375,0.65625,0.796875,0.75,0.5625,0.75,0.59375,0.7447916666666666,0.6610576923076923,0.6767578125
ppo;clip_cov;para1=0.0002;para2=1.0;para3=5.0+steps_0199,0.578125,0.71875,0.75,0.671875,0.46875,0.5625,0.53125,0.640625,0.53125,0.5625,0.484375,0.796875,0.640625,0.4375,0.6875,0.578125,0.640625,0.59375,0.6025390625
ppo;clip_high;para1=0.2;para2=0.28;para3=0+steps_0199,0.609375,0.78125,0.609375,0.65625,0.5,0.71875,0.4375,0.6875,0.71875,0.625,0.5625,0.828125,0.65625,0.578125,0.734375,0.53125,0.7291666666666666,0.6189903846153846,0.6396484375
ppo;clip_high;para1=0.329;para2=0.5;para3=0+steps_0199,0.65625,0.78125,0.6875,0.8125,0.609375,0.75,0.5,0.75,0.6875,0.578125,0.640625,0.796875,0.65625,0.578125,0.671875,0.625,0.7604166666666666,0.6538461538461539,0.673828125
ppo;clip_high;para1=0.329;para2=0.6;para3=0+steps_0199,0.734375,0.875,0.671875,0.734375,0.5,0.6875,0.484375,0.671875,0.6875,0.71875,0.65625,0.8125,0.75,0.578125,0.734375,0.59375,0.7447916666666666,0.6658653846153846,0.6806640625
ppo;dynamic_clip;para1=0.2;para2=0.28;para3=3.0+steps_0199,0.5625,0.65625,0.6875,0.59375,0.328125,0.5625,0.4375,0.5,0.390625,0.53125,0.59375,0.6875,0.578125,0.4375,0.5625,0.46875,0.5729166666666666,0.5276442307692307,0.5361328125
ppo;soft_gated;para1=1.0;para2=1.05;para3=0+steps_0199,0.59375,0.75,0.703125,0.671875,0.4375,0.640625,0.4375,0.609375,0.609375,0.484375,0.53125,0.703125,0.546875,0.390625,0.609375,0.453125,0.6666666666666666,0.5516826923076923,0.5732421875
ppo;trgc;para1=0.03;para2=0.0;para3=0+steps_0199,0.546875,0.75,0.765625,0.71875,0.328125,0.65625,0.5,0.640625,0.609375,0.625,0.671875,0.78125,0.5,0.4375,0.6875,0.453125,0.6822916666666666,0.5865384615384616,0.6044921875
ppo;trgc;para1=0.06;para2=0.0;para3=0+steps_0199,0.75,0.875,0.65625,0.671875,0.515625,0.65625,0.421875,0.671875,0.5625,0.609375,0.59375,0.828125,0.59375,0.53125,0.6875,0.53125,0.734375,0.6117788461538461,0.634765625
ppo;trgc;para1=0.07;para2=0.0;para3=0+steps_0199,0.640625,0.84375,0.609375,0.75,0.4375,0.609375,0.4375,0.6875,0.625,0.6875,0.65625,0.78125,0.703125,0.671875,0.703125,0.546875,0.7135416666666666,0.6346153846153846,0.6494140625
ppo;trgc;para1=0.08;para2=0.0;para3=0+steps_0199,0.6875,0.78125,0.640625,0.625,0.53125,0.5625,0.484375,0.65625,0.703125,0.640625,0.5625,0.78125,0.671875,0.546875,0.671875,0.5625,0.6666666666666666,0.6237980769230769,0.6318359375
ppo;trgc;para1=0.1;para2=0.0;para3=0+steps_0199,0.671875,0.78125,0.640625,0.75,0.34375,0.671875,0.484375,0.609375,0.578125,0.5625,0.59375,0.71875,0.640625,0.5,0.703125,0.546875,0.6875,0.5949519230769231,0.6123046875
ppo;trgppo;para1=0.05;para2=0.0;para3=0+steps_0199,0.0625,0.125,0.078125,0.109375,0.078125,0.15625,0.140625,0.140625,0.078125,0.15625,0.1875,0.296875,0.203125,0.140625,0.296875,0.265625,0.140625,0.16105769230769232,0.1572265625
ppo;trgppo;para1=0.06;para2=0.0;para3=0+steps_0199,0.421875,0.5625,0.46875,0.390625,0.359375,0.5625,0.28125,0.453125,0.421875,0.390625,0.453125,0.75,0.46875,0.421875,0.515625,0.328125,0.5260416666666666,0.4362980769230769,0.453125
ppo;trgppo;para1=0.07;para2=0.0;para3=0+steps_0199,0.375,0.71875,0.46875,0.5,0.359375,0.546875,0.421875,0.59375,0.375,0.421875,0.46875,0.671875,0.5,0.3125,0.484375,0.28125,0.6197916666666666,0.4338942307692308,0.46875
ppo;trgppo;para1=0.08;para2=0.0;para3=0+steps_0199,0.359375,0.453125,0.359375,0.46875,0.15625,0.453125,0.328125,0.265625,0.28125,0.25,0.359375,0.46875,0.359375,0.375,0.5,0.375,0.390625,0.35697115384615385,0.36328125
ppo;trgppo;para1=0.09;para2=0.0;para3=0+steps_0199,0.25,0.484375,0.4375,0.46875,0.21875,0.359375,0.234375,0.34375,0.4375,0.328125,0.34375,0.5,0.40625,0.359375,0.40625,0.390625,0.3958333333333333,0.36778846153846156,0.373046875
