params,PutOnPlateInScene25Carrot-v1-test,PutOnPlateInScene25Carrot-v1-train,PutOnPlateInScene25EEPose-v1-test,PutOnPlateInScene25Instruct-v1-test,PutOnPlateInScene25MultiCarrot-v1-test,PutOnPlateInScene25MultiCarrot-v1-train,PutOnPlateInScene25MultiPlate-v1-test,PutOnPlateInScene25MultiPlate-v1-train,PutOnPlateInScene25Plate-v1-test,PutOnPlateInScene25Position-v1-test,PutOnPlateInScene25PositionChangeTo-v1-test,PutOnPlateInScene25VisionImage-v1-test,PutOnPlateInScene25VisionTexture03-v1-test,PutOnPlateInScene25VisionTexture05-v1-test,PutOnPlateInScene25VisionWhole03-v1-test,PutOnPlateInScene25VisionWhole05-v1-test,avg_success_train,avg_success_test,avg_success_all
ppo;trgc;para1=0.05;para2=0.0;para3=1+steps_0249,0.640625,0.78125,0.578125,0.78125,0.546875,0.609375,0.59375,0.75,0.625,0.640625,0.625,0.828125,0.734375,0.671875,0.6875,0.578125,0.7135416666666666,0.65625,0.6669921875
ppo;trgc;para1=0.06;para2=0.0;para3=1+steps_0249,0.734375,0.890625,0.8125,0.84375,0.53125,0.75,0.578125,0.796875,0.71875,0.75,0.71875,0.90625,0.78125,0.625,0.765625,0.609375,0.8125,0.7211538461538461,0.73828125
ppo;trgc;para1=0.07;para2=0.0;para3=1+steps_0249,0.640625,0.84375,0.625,0.65625,0.46875,0.65625,0.453125,0.734375,0.6875,0.71875,0.6875,0.828125,0.75,0.546875,0.671875,0.609375,0.7447916666666666,0.6418269230769231,0.6611328125
ppo;trgc;para1=0.08;para2=0.0;para3=1+steps_0249,0.6875,0.875,0.671875,0.828125,0.484375,0.78125,0.453125,0.609375,0.765625,0.6875,0.65625,0.859375,0.796875,0.53125,0.734375,0.546875,0.7552083333333334,0.6694711538461539,0.685546875
ppo;trgc;para1=0.09;para2=0.0;para3=1+steps_0249,0.796875,0.859375,0.75,0.84375,0.53125,0.703125,0.46875,0.703125,0.65625,0.671875,0.703125,0.875,0.828125,0.515625,0.796875,0.609375,0.7552083333333334,0.6959134615384616,0.70703125
ppo;trgc;para1=1.0;para2=0.07;para3=1+steps_0249,0.703125,0.90625,0.734375,0.78125,0.546875,0.734375,0.484375,0.703125,0.6875,0.703125,0.6875,0.84375,0.734375,0.65625,0.796875,0.578125,0.78125,0.6875,0.705078125
