params,PutOnPlateInScene25Carrot-v1-test,PutOnPlateInScene25Carrot-v1-train,PutOnPlateInScene25VisionImage-v1-test,PutOnPlateInScene25VisionTexture03-v1-test,PutOnPlateInScene25VisionTexture05-v1-test,PutOnPlateInScene25VisionWhole03-v1-test,PutOnPlateInScene25VisionWhole05-v1-test,avg_success_rate
ppo;clip;para1=0.1;para2=0.0;para3=0,0.875,0.96875,0.96875,0.921875,0.8125,0.90625,0.75,0.75
ppo;clip;para1=0.2;para2=0.0;para3=0,0.875,0.984375,0.953125,0.890625,0.75,0.953125,0.8125,0.7388392857142857
ppo;clip_cov;para1=0.0002;para2=1.0;para3=5.0,0.859375,0.96875,0.9375,0.859375,0.75,0.953125,0.765625,0.7366071428571429
ppo;clip_high;para1=0.2;para2=0.28;para3=0,0.875,0.953125,0.921875,0.921875,0.734375,0.90625,0.703125,0.7142857142857143
ppo;clip_high;para1=0.329;para2=0.5;para3=0,0.90625,0.953125,0.90625,0.9375,0.796875,0.96875,0.828125,0.7433035714285714
ppo;clip_high;para1=0.329;para2=0.6;para3=0,0.9375,0.984375,0.953125,0.90625,0.8125,0.921875,0.75,0.7455357142857143
